park_id,source,park_name,area_ha
Vancouver_100,Vancouver,McCleery Park,0.25124304248173596
Vancouver_101,Vancouver,Musqueam Park,23.765774741392363
Vancouver_102,Vancouver,Malkin Park,2.4284729881443776
Vancouver_103,Vancouver,Kerrisdale Centennial Park,1.5300032464374087
Vancouver_104,Vancouver,Cambie Park,0.9349552736341832
Vancouver_105,Vancouver,Langara Park,1.2144211866921284
Vancouver_106,Vancouver,Tisdall Park,5.03617000240216
Vancouver_107,Vancouver,Montgomery Park,4.029881754480023
Vancouver_108,Vancouver,Columbia Park,2.7891455857579426
Vancouver_109,Vancouver,Oak Meadows Park,4.739711729851576
Vancouver_110,Vancouver,Vandusen Botanical Garden,22.361412850319518
Vancouver_111,Vancouver,Queen Elizabeth Park,53.28454134129558
Vancouver_112,Vancouver,Devonshire Park,1.5286016804984024
Vancouver_113,Vancouver,Elm Park,1.4955385216804493
Vancouver_114,Vancouver,Kerrisdale Park,2.9972151268110285
Vancouver_115,Vancouver,Ravine Park,0.9201103401666911
Vancouver_116,Vancouver,Memorial West Park,7.511579628139858
Vancouver_117,Vancouver,Quilchena Park,7.692325821772762
Vancouver_118,Vancouver,Prince Of Wales Park,2.8943266649729624
Vancouver_119,Vancouver,Park Site On Trafalgar Street,0.1364974351413605
Vancouver_120,Vancouver,Balaclava Park,4.898701529605987
Vancouver_121,Vancouver,Chaldecott Park,3.4570534339846892
Vancouver_122,Vancouver,Arbutus Village Park,1.4122582984871996
Vancouver_123,Vancouver,Trafalgar Park,4.864674354124592
Vancouver_124,Vancouver,Valdez Park,0.7689368807578044
Vancouver_125,Vancouver,Angus Park,0.899249048606294
Vancouver_126,Vancouver,Carnarvon Park,4.243831294285206
Vancouver_127,Vancouver,Quadra West Park,0.14211025354133125
MetroVancouver_128,MetroVancouver,Pacific Spirit Regional Park,511.01317130433546
Vancouver_129,Vancouver,Granville Park,1.9670674062066962
Vancouver_130,Vancouver,Almond Park,1.614077026317408
Vancouver_131,Vancouver,Connaught Park,5.998422871135608
Vancouver_132,Vancouver,Arbutus Greenway Park,0.6892910731915232
Vancouver_133,Vancouver,Braemar Park,1.2599339038148545
Vancouver_134,Vancouver,Douglas Park,5.335434689248188
Vancouver_135,Vancouver,Heather Park,0.9786709555745249
Vancouver_136,Vancouver,Shaughnessy Park,1.4511219160960303
Vancouver_137,Vancouver,Lilian To,0.1416529125979901
Vancouver_138,Vancouver,Willow Park,0.07145706335755848
Vancouver_139,Vancouver,Choklit Park,0.0673899881874338
Vancouver_140,Vancouver,Laurel Landbridge Park,0.15406048568729908
Vancouver_141,Vancouver,Granville Loop Park,1.0576262491005026
Vancouver_142,Vancouver,Charleson Park,7.24506094998271
Vancouver_143,Vancouver,Grimmett Park,0.2423807022478004
Vancouver_144,Vancouver,Sun Hop Park,0.1613126394672298
Vancouver_145,Vancouver,Sunnyside Park,0.9718543620386921
Vancouver_146,Vancouver,Mount Pleasant Park,1.118571507241686
Vancouver_147,Vancouver,Tea Swamp Park,0.2633232881386645
Vancouver_148,Vancouver,Clark Park,4.298638142764009
Vancouver_149,Vancouver,Robson Park,1.5652428799599776
Vancouver_150,Vancouver,Major Matthews Park,0.07439143820057652
Vancouver_151,Vancouver,Cedar Cottage Park,0.47287866582623067
Vancouver_152,Vancouver,Rosemary Brown Park,0.4950770732286146
Vancouver_153,Vancouver,West Point Grey Park,3.7526696908120614
Vancouver_154,Vancouver,Delamont Park,0.3333201169663353
Vancouver_155,Vancouver,6th and Fir,0.1344785970347771
Vancouver_156,Vancouver,5th and Pine,0.11151634667086334
Vancouver_157,Vancouver,McBride Park,1.7139528153459287
Vancouver_158,Vancouver,Tatlow Park,1.403307997861267
Vancouver_159,Vancouver,Westmount Park,0.39708313025578057
Vancouver_160,Vancouver,Park Site on Point Grey at šxʷməθkʷəy̓əmasəm (Musq,0.21370468836015802
Vancouver_161,Vancouver,Volunteer Park,0.7255679853061457
Vancouver_162,Vancouver,China Creek South Park,1.6561738194258506
Vancouver_163,Vancouver,W.C. Shelly Park,0.44790431446930123
Vancouver_164,Vancouver,Jonathan Rogers Park,1.4034402734679432
Vancouver_165,Vancouver,Guelph Park,1.044701379411163
Vancouver_166,Vancouver,Sahalli Park,0.5471233861074597
Vancouver_167,Vancouver,China Creek North Park,3.1742196469464954
Vancouver_168,Vancouver,McSpadden Park,1.6291630179029877
Vancouver_169,Vancouver,Alice Townley Park,0.22441049568397214
Vancouver_170,Vancouver,East Park,0.5806673336350324
Vancouver_171,Vancouver,Sutcliffe Park,2.51721060583821
Vancouver_172,Vancouver,Granville Island Water Park,0.2645161512827719
Vancouver_173,Vancouver,Park Site On South East False Creek (Hinge Park),1.3313305859339042
Vancouver_174,Vancouver,David Lam Park,3.5519070001536237
Vancouver_175,Vancouver,George Wainborn Park,2.3589321714816185
Vancouver_176,Vancouver,Habitat Island Park,0.6028334089508882
Vancouver_177,Vancouver,Coopers' Park,1.851835196804662
Vancouver_178,Vancouver,May & Lorne Brown Park,0.2512475719142125
Vancouver_179,Vancouver,Jean Beaty Park,0.12600856691533605
Vancouver_180,Vancouver,Jericho Beach Park,48.235374409690415
Vancouver_181,Vancouver,Seaforth Peace Park,0.792671767245045
Vancouver_182,Vancouver,Margaret Pigott Park,0.38152947699486706
Vancouver_183,Vancouver,Hastings Mill Park,1.2353512248255363
Vancouver_184,Vancouver,Park Site on Point Grey at Stephens,0.22903539424198396
Vancouver_185,Vancouver,Locarno Beach Park,14.735268868666859
Vancouver_186,Vancouver,Park Site on Point Grey at Trafalgar,0.2905483362687796
Vancouver_187,Vancouver,Kitsilano Beach Park,13.612187785693147
Vancouver_188,Vancouver,Emery Barnes Park,0.897458887204571
Vancouver_189,Vancouver,Yaletown Park,0.1393031197776503
Vancouver_190,Vancouver,Sunset Beach Park,3.6447666940059658
Vancouver_191,Vancouver,sθәqәlxenәm ts'exwts'áxwi7 (Rainbow),0.306310884221517
Vancouver_192,Vancouver,Victory Square,0.3898039934295843
Vancouver_193,Vancouver,Nelson Park,1.166710290358019
Vancouver_194,Vancouver,Cathedral Square,0.26770352751929066
Vancouver_195,Vancouver,Art Phillips Park,0.10302559582500494
Vancouver_196,Vancouver,Barclay Heritage Square,0.6330556629877405
Vancouver_197,Vancouver,Portal Park,0.10143859543643992
Vancouver_198,Vancouver,Coal Harbour Park,0.954766910002646
Vancouver_199,Vancouver,Harbour Green Park,3.202602245264767
Vancouver_200,Vancouver,Cardero Park,0.3262679306708125
Vancouver_201,Vancouver,Marina Square,0.631900993408958
Vancouver_202,Vancouver,Devonian Harbour Park,4.089583478244414
Vancouver_203,Vancouver,Spanish Banks Beach Park,14.526058613801348
Vancouver_204,Vancouver,Vanier Park,21.346225485185112
Vancouver_205,Vancouver,Hadden Park,2.965751524179684
Vancouver_206,Vancouver,English Bay Beach Park,9.979982869834673
Vancouver_207,Vancouver,Alexandra Park,0.548802922190075
Vancouver_208,Vancouver,Morton Park,0.21993068083416356
Vancouver_209,Vancouver,Stanley Park,418.38437933456487
Vancouver_210,Vancouver,Pandora Park,1.6683105971273458
Vancouver_211,Vancouver,Hastings Park - Sanctuary,4.2470978909020465
Vancouver_212,Vancouver,Hastings Park - Italian Garden,1.9651454437424531
Vancouver_213,Vancouver,Oxford Park,0.24861269353486593
Vancouver_214,Vancouver,Callister Park,1.4504921317926012
Vancouver_215,Vancouver,Creekway Park,1.3502920753244863
Vancouver_216,Vancouver,McGill Park,0.2572962537581882
Vancouver_217,Vancouver,Park Site On Trinity Street,0.15954590575148958
Burnaby_218,Burnaby,BURNABY HEIGHTS PARK,4.051521065218757
Burnaby_219,Burnaby,MCGILL PARK,1.4353769088722992
Vancouver_220,Vancouver,Bates Park,0.3386401141138044
Burnaby_221,Burnaby,SECOND NARROWS PARK,11.358624305016896
Vancouver_222,Vancouver,Andy Livingstone Park,4.219575261419402
Vancouver_223,Vancouver,Maclean Park,1.2110010504776327
Vancouver_224,Vancouver,Woodland Park,1.5846728154033367
Vancouver_225,Vancouver,Sun Yat-sen Gardens Park,0.8142249842000292
Vancouver_226,Vancouver,Oppenheimer Park,0.9798935452658916
Vancouver_227,Vancouver,CRAB Park at Portside,3.303804497871211
Vancouver_228,Vancouver,Cambridge Park,0.235167514472728
Vancouver_229,Vancouver,New Brighton Park,10.634166713983541
Vancouver_230,Vancouver,Street End - Wall St @ Nanaimo,0.06355147011013935
Vancouver_231,Vancouver,Burrard View Park,2.7687208169064066
Vancouver_232,Vancouver,Street End - Wall St @ Kamloops,0.13473078186524146
Vancouver_233,Vancouver,Street End - Wall St @ Penticton,0.10517221287860987
Vancouver_234,Vancouver,Dusty Greenwell Park,0.5327570996247257
Vancouver_235,Vancouver,Street End - Wall St @ Slocan,0.11720104087115353
