source,park_name,area_ha,park_id,place_id_old,place_id_proposed,match_flag,notes
Vancouver,Callister Park,,,ChIJJZf3XeBwhlQR85cMSoejEXw,,exact,
Vancouver,Charles Park,,,ChIJyRYm0NVwhlQRhx_safq7qa8,,exact,
Vancouver,Clinton Park,,,ChIJu9PyFjBxhlQRcu77PZFWKM0,,exact,
Vancouver,Dusty Greenwell Park,,,ChIJh6pVh-NwhlQR5Q9CISVPPm8,,exact,
Vancouver,Hastings Community Park,,,ChIJ7a4QtdhwhlQRJG5RiFTWPe4,,exact,
Vancouver,Kaslo Park,,,ChIJfecbAzNxhlQRuPoXxBEQCio,,exact,
Vancouver,New Brighton Park,,,ChIJYTzEQeZwhlQRvYumbduROOs,,exact,
Vancouver,Rupert Park,,,ChIJVVQ1MipxhlQRJzWpvSkLUvs,,exact,
Vancouver,Sunrise Park,,,ChIJM2LXoixxhlQR6cOFWdWtq4w,,exact,
Vancouver,Thunderbird Park,,,ChIJdY0tlipxhlQRGfacJ8at8O4,,exact,
Vancouver,Brewers Park,,,ChIJZyqg6a52hlQRP-UiMhm_Sdw,,exact,
Vancouver,Cedar Cottage Park,,,ChIJtRQtKlBxhlQRaIjzYLWTH8c,,exact,
Vancouver,Clark Park,,,ChIJJ_kBcVJxhlQRiqlikNPSCLY,,exact,
Vancouver,General Brock Park,,,ChIJM0glEqV2hlQRKWLMXS0IhBQ,,exact,
Vancouver,Glen Park,,,ChIJryDxBQB0hlQRbtirTQEAV5Y,,exact,
Vancouver,Grays Park,,,ChIJ0Y_5UwR0hlQR-iOTsGZ7xEw,,exact,
Vancouver,John Hendry (Trout Lake) Park,,,ChIJNTdgR7N2hlQRsGx3wkOQ0sk,,exact,
Vancouver,Jones Park,,,ChIJDa_CRR50hlQR6O1HYuG72ys,,exact,
Vancouver,Kensington Park,,,ChIJO8AziRx0hlQRVI1T6sf_Gdo,,exact,
Vancouver,Kingcrest Park,,,ChIJhShFK6p2hlQRScal2yKlk_Y,,exact,
Vancouver,Sunnyside Park,,,ChIJlTfKFFRxhlQRUctT1m7IU8c,,exact,
Vancouver,Arbutus Park,,,ChIJz4_4Rph0hlQR-dUPngR--es,,exact,
Vancouver,Elm Park,,,ChIJk1uxP2VzhlQRi5nrQ102bFA,,exact,
Vancouver,Fraser River Park,,,ChIJi06rTb50hlQRBFFBzgkGIBM,,exact,
Vancouver,Kerrisdale Centennial Park,,,ChIJMbvsBntzhlQRBbPTAp4qVpY,,exact,
Vancouver,Malkin Park,,,ChIJz07OE2hzhlQRIlnM7UC9NLg,,exact,
Vancouver,Maple Grove Park,,,ChIJ8aj4P550hlQRjTZU5Nstqok,,exact,
Vancouver,McCleery Park,,,ChIJK9gkC2FzhlQRXlcBrT9bETA,,exact,
Vancouver,Captain Cook Park,,,ChIJY-gCRX52hlQRZGZEgqY7bQU,,exact,
Vancouver,Champlain Heights Park,,,ChIJP8TmK392hlQRs8kUSp-kvQI,,exact,
Vancouver,Everett Crowley Park,,,ChIJC7uNpdd1hlQRud9Kp4snUtU,,exact,
Vancouver,Killarney Park,,,ChIJL9zIRYN2hlQRS0ojoIdUiPE,,exact,
Vancouver,Kinross Ravine Park,,,ChIJOQXOBtp1hlQR9z7z1XRMcyI,,exact,
Vancouver,Sparwood Park,,,ChIJHYNgmH12hlQR0gLImPSspGs,,exact,
Vancouver,Almond Park,,,ChIJzy68lgFzhlQR3bAMfmlJakQ,,exact,
Vancouver,Connaught Park,,,ChIJwwg2M65zhlQR4r-M83JybOI,,exact,
Vancouver,Delamont Park,,,ChIJz8ibx7ZzhlQRfNxBURpAlo0,,exact,
Vancouver,Hadden Park,,,ChIJk9VbpjVyhlQRoPnK3Fg0pTg,,exact,
Vancouver,Jean Beaty Park,,,ChIJnRglPVFyhlQR03Sua9dIDi0,,exact,
Vancouver,Kitsilano Beach Park,,,"ChIJnVFsezVyhlQRf5O-Pe5uQ04, ChIJHUYfoDVyhlQRrGFzpe5fhaQ",,exact,
Vancouver,Margaret Pigott Park,,,ChIJQcEWtE1yhlQRq5EvZuP3fYM,,exact,
Vancouver,McBride Park,,,ChIJqYcdRFRyhlQRaECLerpvnGU,,exact,
Vancouver,Park Site on Point Grey at Trutch,,,ChIJd7CrglFyhlQRhCfsNwzHzYE,,fuzzy,
Vancouver,Park Site on Point Grey at Stephens,,,ChIJBR-XSExyhlQRVaU4Z8qga0I,,fuzzy,
Vancouver,Park Site on Point Grey at Trafalgar,,,ChIJqeRyDUxyhlQRhqdvgElWoRo,ChIJ3StweQBzhlQROdIhlxaHYNU,fuzzy,As 'Trafalgar Triangle Park Site'
Vancouver,Seaforth Peace Park,,,ChIJJ0-wUspzhlQRKt_ZlwgVYYs,,exact,
Vancouver,Tatlow Park,,,ChIJj9LmgVJyhlQRMSv-tmobp8U,,exact,
Vancouver,Vanier Park (Cultural Harmony Grove),,,ChIJDVxdVcxzhlQR4VVMIenhbVE,ChIJcUir1MxzhlQRBUXcDCRBgoI,fuzzy,Main park is more relevant than cultural harmony grove
Vancouver,Volunteer Park,,,ChIJnfJjlE1yhlQR6fGIpVjE_9E,,exact,
Vancouver,Ash Park,,,ChIJmfKAD_R0hlQR2etVxiSVvu8,,exact,
Vancouver,Eburne Park,,,ChIJi1Mbee50hlQRKK0mG1GDtUc,,exact,
Vancouver,Marpole Park,,,ChIJaUl9s-t0hlQRgz7XB6izdek,,exact,
Vancouver,Oak Park,,,ChIJM_hBYox0hlQRcujRUfx1r24,,exact,
Vancouver,Riverview Park,,,ChIJLWJQgpZ0hlQR7ZOtwMe5urQ,,exact,
Vancouver,Shannon Park,,,ChIJK86qDpF0hlQRY2FkPtkYryw,,exact,
Vancouver,William Mackie Park,,,ChIJt8HMwOp0hlQRoABp_Ffp65Q,,exact,
Vancouver,Winona Park,,,ChIJC5SWvl90hlQRB89ZpxoUHI4,,exact,
Vancouver,China Creek North Park,,,ChIJP2cAOltxhlQROoXZvfN2rdY,,exact,
Vancouver,China Creek South Park,,,ChIJ5XTCEFBxhlQRSX_XuEGkLJA,,exact,
Vancouver,Guelph Park,,,ChIJ4bD6IF9xhlQRslSTYK4lOfM,,exact,
Vancouver,Jonathan Rogers Park,,,ChIJuxe5nuBzhlQRGzxeBtLX_90,,exact,
Vancouver,Major Matthews Park,,,ChIJ2Zs7K-FzhlQRUrWRcS8n4jE,,exact,
Vancouver,Mount Pleasant Park,,,ChIJ2-nGU-RzhlQRg10wKBoIhv4,,exact,
Vancouver,Robson Park,,,ChIJ4w9s-VdxhlQRmt-tSScFR8I,,exact,
Vancouver,Tea Swamp Park,,,ChIJxxdSOONzhlQRSddacN9azVQ,,exact,
Vancouver,Cambie Park,,,ChIJp0x5YWF0hlQRYMKUL3U2BcE,,exact,
Vancouver,Columbia Park,,,ChIJM302BHF0hlQRqFOUt6e8n90,,exact,
Vancouver,Montgomery Park,,,ChIJg7fz5n50hlQRo9GXpVhSDlM,,exact,
Vancouver,Tisdall Park,,,ChIJG6h0OXt0hlQRY4B37Wd5hPs,,exact,
Vancouver,Beaconsfield Park,,,ChIJBzAe6bV2hlQRzPY-vJUxr-s,,exact,
Vancouver,Cariboo Park,,,ChIJ7U-FfOp2hlQRNtM0uW9ApMc,,exact,
Vancouver,Carleton Park,,,ChIJqTIU0Op2hlQRnLzWdxS4vXg,,exact,
Vancouver,Collingwood Park,,,ChIJQWLyspZ2hlQRcqZoordgcDc,,exact,
Vancouver,Earles Park,,,ChIJcU6_Epx2hlQRNvEPUWuryHI,,exact,
Vancouver,Falaise Park,,,ChIJmWmNzdp2hlQRWjnSYGKO9j8,,exact,
Vancouver,Foster Park,,,ChIJZ6OKcZJ2hlQRP7l2hZWu-ZQ,,exact,
Vancouver,Gaston Park,,,ChIJGxWYt5N2hlQRpSVP-1KR7mM,,exact,
Vancouver,Melbourne Park,,,ChIJG_DeAJN2hlQRchN6SnOa_Ok,,exact,
Vancouver,Norquay Park,,,ChIJdWKlgZh2hlQRzqmlKiCHq5w,,exact,
Vancouver,Price Park,,,ChIJRRoBy4J3hlQR-uUkl4HSaBo,ChIJ____gOx2hlQRFFnP-o_4Quo,exact,Previous was just for playground. Note that Price Park has 0 reviews but playground has 1 review.
Vancouver,Renfrew Community Park,,,ChIJGxBSE8h2hlQREGZuQbBmLk4,,exact,
Vancouver,Renfrew Ravine Park,,,ChIJJc32Trl2hlQR8l9XDVPjlFM,,exact,
Vancouver,Slocan Park,,,ChIJq74VcLx2hlQRqTLGA5zPWJw,,exact,
Vancouver,Cartier Park,,,ChIJN2vpOgx0hlQReb3pmmh_wZI,,exact,
Vancouver,Grimmett Park,,,ChIJIbUdIftzhlQR3FxYHnV9bFA,,exact,
Vancouver,Hillcrest Park,,,ChIJy1jYS_RzhlQRAGB4_a8DoeI,,exact,
Vancouver,Prince Edward Park,,,ChIJm9c-2_tzhlQRCZ0h-hxuSaw,,exact,
Vancouver,Riley Park,,,ChIJk2TkDgp0hlQRkWrt4bl_2QM,,exact,
Vancouver,Angus Park,,,ChIJOTyt_ZdzhlQRszXvVBYi0ws,,exact,
Vancouver,Devonshire Park,,,ChIJ4eZqHpBzhlQRbF5hkWtQPN8,,exact,
Vancouver,Kerrisdale Park,,,ChIJuZnNIHpzhlQRH-rkHfIn4bI,,exact,
Vancouver,Shaughnessy Park,,,ChIJSbuugZVzhlQRTdS00C0zXyY,,exact,
Vancouver,Braemar Park,,,ChIJr5Ykeo1zhlQRxTFCPQi4ndQ,,exact,
Vancouver,Douglas Park,,,ChIJAUw1JNRzhlQRCnHVzI24sCs,,exact,
Vancouver,Heather Park,,,ChIJmUG1iutzhlQRMbhW_oYYz6s,,exact,
Vancouver,Maclean Park,,,ChIJbyrrMGxxhlQRY5TfOsP4DfI,,exact,
Vancouver,Oppenheimer Park,,,ChIJF0sFL3JxhlQRkjUfpiWMnXo,,exact,
Vancouver,Strathcona Park,,,ChIJSyp71WtxhlQReZtp3mzmPnY,,exact,
Vancouver,Strathcona Linear Park,,,ChIJGc_YA2xxhlQRYCN8Qrra0a4,,exact,
Vancouver,Thornton Park,,,ChIJDyI5MmRxhlQRgNoRd-LruNU,,exact,
Vancouver,George Park,,,ChIJO7VBr1p0hlQRkXQcCX3w55k,,exact,
Vancouver,MacDonald Park,,,ChIJMdSO6Wx0hlQRZVtjAbrtrW8,,exact,
Vancouver,Memorial South Park,,,ChIJ_V-LvhZ0hlQRPyVZcd83YiY,,exact,
Vancouver,Moberly Park,,,ChIJ7Rw__kV0hlQRQ_CXlmJWnFU,ChIJAQAADEZ0hlQR816cnBxM87k,fuzzy,Old code is for SW Diamond only but has more reviews
Vancouver,Ross Park,,,ChIJX_EtwUd0hlQRSqoCuc14Pjs,,exact,
Vancouver,Sunset Park,,,ChIJj76x_Wl0hlQRo_4SU8yo40k,,exact,
Vancouver,Bobolink Park,,,ChIJTU9RhTJ0hlQReT_ozcd7LFU,,exact,
Vancouver,Fraserview Park,,,ChIJp46ViGt1hlQRr2L0RXVYFoc,,exact,
Vancouver,Gladstone-Riverside Park,,,ChIJk11occl1hlQRUEwbZnbL6gc,,exact,
Vancouver,Gordon Park,,,ChIJ____Ezt0hlQRbH4nQIeSKys,,exact,
Vancouver,Humm Park,,,ChIJq6rqyDF0hlQRXLjveZ83HR8,,exact,
Vancouver,Nanaimo Park,,,ChIJ73Xm_iZ0hlQR58-9FJWTvZs,ChIJ____Gyd0hlQRiDN-vHOS1bE,exact,wrong ID
Vancouver,Riverfront Park,,,ChIJaVvpl891hlQRMxprW0l3Vgc,,exact,
Vancouver,Tecumseh Park,,,ChIJj9M8XCJ0hlQRPKFMohArkMo,,exact,
Vancouver,Alexandra Park,,,ChIJrzzU_y5yhlQR3gtnchw_YCI,,exact,
Vancouver,Barclay Heritage Square Park,,,ChIJuRmp2ylyhlQRRRIBDobG380,,exact,
Vancouver,English Bay Beach Park,,,"ChIJ7WHSBi9yhlQRdLXmpczA6wo, ChIJ86zkaC9yhlQR4GhBA8iTiy4",,exact,
Vancouver,Morton Park,,,ChIJ__wzVS9yhlQRXRtamFaDvyY,,exact,
Vancouver,Nelson Park,,,ChIJp6Yu-ipyhlQRTLUcQSOMft8,,exact,
Vancouver,Rosemont Park,,,ChIJK2UkddV1hlQRTBAqFsTxlhg,,exact,
Vancouver,Sunset Beach Park,,,ChIJAWo0tC1yhlQRAL6Iz7Cs6G4,"ChIJAWo0tC1yhlQRAL6Iz7Cs6G5, ChIJ0UCTbi1yhlQRQCKD7zPvHBk",exact,"Adding ""Sunset Beach"" to be consistent"
Vancouver,Rosemary Brown Park,,,ChIJS5wbJLBzhlQRoCRPmPuGU8Y,,exact,
Vancouver,Langara Park,,,ChIJZzh7dhB1hlQRSlV-04fDXD0,,fuzzy,Unclear if includes golf course and perimeter trail
Vancouver,Sahalli Park,,,ChIJnUSZ3VtxhlQRHp5L-dYmDbA,,exact,
Vancouver,Park Site On Shaughnessy Street,,,ChIJATo6iOV0hlQRFQbsRk6mgH0,,fuzzy,
Vancouver,Hastings Mill Park,,,ChIJBdvqe1dyhlQR7Nf9Nd_YHIA,,exact,
Vancouver,Jericho Beach Park,,,"ChIJ5xH-_PZyhlQR2oyzoLe8M-c, ChIJBdOUdVhyhlQRf5X1qM6aus8",,exact,
Vancouver,Locarno Beach Park,,,"ChIJwzH1iPNyhlQRnNtrx--1dRo, ChIJU85SfvNyhlQROqo2GnhKkPY",,exact,
Vancouver,Spanish Banks Beach Park,,,"ChIJLQnMgZJyhlQRnRaqpqnAhgg, ChIJIxV11ZZyhlQR6lOWn2aTIlQ",,fuzzy,Could consider adding Spanish Banks Off Leash Dog Area to include west portion -ChIJIxV11ZZyhlQR6lOWn2aTIlQ
Vancouver,West Point Grey Park,,,ChIJF3ZzyvpyhlQR2PRpa6WD4yw,,exact,
Vancouver,Westmount Park,,,ChIJxZsulu1yhlQRqT0pZTQ8X4s,ChIJ_8GQ6V1zhlQRVtXzc6MCZVg,exact,Wrong ID
Vancouver,Choklit Park,,,ChIJmYd6Q8RzhlQRnQcUS9mQFVo,,exact,
Vancouver,George Wainborn Park,,,ChIJyc3aydFzhlQR43lpkTY-G0c,,exact,
Vancouver,Oak Meadows Park,,,ChIJafAXZYhzhlQRZ1X6Zx94FeU,,exact,
Vancouver,Arbutus Greenway Park,,,ChIJF391QrBzhlQRw86A7fL1egg,,exact,
Vancouver,Aberdeen Park,,,ChIJV40wYpJ2hlQRcNMAsizCLwY,,exact,
Vancouver,Granville Island Water Park,,,ChIJ38kXhc1zhlQRSwgjFzVBDgE,,exact,
Vancouver,Ebisu Park,,,ChIJKRZjqO50hlQRFUt8m76rzKw,,exact,
Vancouver,Carolina Park,,,ChIJi4cql2ZxhlQRt2G0F4-JFus,,exact,
Vancouver,Park Site On South East False Creek (Hinge Park),,,ChIJMzf4dmJxhlQRWGgp8cpI0eU,,exact,
Vancouver,Habitat Island Park,,,ChIJrWwEf2JxhlQRKMuYEPVuOPU,,exact,
Vancouver,Fraser River Trail Park,,,ChIJkZyYPuh0hlQR-O6-mDuHWKY,,uncertain,"Used ""hudson gateway"""
Vancouver,Trillium Park,,,ChIJqe3omWVxhlQRnQQZik9OmLk,,exact,
