park_id,source,park_name,area_ha,place_id,match_flag,notes
Vancouver_48,Vancouver,Hillcrest Park,7.533767664570319,ChIJy1jYS_RzhlQRAGB4_a8DoeI,exact,
Vancouver_49,Vancouver,Kingcrest Park,2.4760567998351717,ChIJhShFK6p2hlQRScal2yKlk_Y,exact,
Vancouver_50,Vancouver,Brewers Park,1.3867419304657047,ChIJZyqg6a52hlQRP-UiMhm_Sdw,exact,
Vancouver_51,Vancouver,Glen Park,1.094707183737018,ChIJryDxBQB0hlQRbtirTQEAV5Y,exact,
Vancouver_52,Vancouver,Prince Edward Park,1.217281654082649,ChIJm9c-2_tzhlQRCZ0h-hxuSaw,exact,
Vancouver_53,Vancouver,Norquay Park,2.2711646173653475,ChIJdWKlgZh2hlQRzqmlKiCHq5w,exact,
Vancouver_54,Vancouver,Collingwood Park,1.2710970318952042,ChIJQWLyspZ2hlQRcqZoordgcDc,exact,
Vancouver_55,Vancouver,Carleton Park,0.6846958778105309,ChIJqTIU0Op2hlQRnLzWdxS4vXg,exact,
Vancouver_56,Vancouver,Slocan Park,4.215052562860889,ChIJq74VcLx2hlQRqTLGA5zPWJw,exact,
Vancouver_57,Vancouver,General Brock Park,2.163500758658856,ChIJM0glEqV2hlQRKWLMXS0IhBQ,exact,
Vancouver_58,Vancouver,Cariboo Park,0.7686569135310117,ChIJ7U-FfOp2hlQRNtM0uW9ApMc,exact,
Vancouver_59,Vancouver,Renfrew Ravine Park,6.142911707986188,ChIJJc32Trl2hlQR8l9XDVPjlFM,exact,
Vancouver_60,Vancouver,Renfrew Community Park,5.015662018149384,ChIJGxBSE8h2hlQREGZuQbBmLk4,exact,
Vancouver_61,Vancouver,John Hendry (Trout Lake) Park,27.39301499480162,ChIJNTdgR7N2hlQRsGx3wkOQ0sk,exact,
Vancouver_62,Vancouver,Beaconsfield Park,4.445567960476784,ChIJBzAe6bV2hlQRzPY-vJUxr-s,exact,
Vancouver_63,Vancouver,Falaise Park,7.589311685737394,ChIJmWmNzdp2hlQRWjnSYGKO9j8,exact,
Vancouver_64,Vancouver,Kaslo Park,0.4472390009223489,ChIJfecbAzNxhlQRuPoXxBEQCio,exact,
Vancouver_65,Vancouver,Sunrise Park,3.18610429517952,ChIJM2LXoixxhlQR6cOFWdWtq4w,exact,
Vancouver_66,Vancouver,Garden Park,0.9699779331201226,ChIJZ13eaDdxhlQR4XCkXOKSOAU,exact,
Vancouver_67,Vancouver,Thunderbird Park,0.8950338277748151,ChIJdY0tlipxhlQRGfacJ8at8O4,exact,
Vancouver_68,Vancouver,Clinton Park,3.0522401919037216,ChIJu9PyFjBxhlQRcu77PZFWKM0,exact,
Vancouver_69,Vancouver,Rupert Park,11.837228233496882,ChIJVVQ1MipxhlQRJzWpvSkLUvs,exact,
Vancouver_70,Vancouver,Charles Park,1.5422343147649853,ChIJyRYm0NVwhlQRhx_safq7qa8,exact,
Vancouver_71,Vancouver,Templeton Park,1.9329342746641145,ChIJKcr50CJxhlQRAfbaI6BCHD4,exact,
Vancouver_72,Vancouver,Hastings Community Park,4.2008387179504165,ChIJ7a4QtdhwhlQRJG5RiFTWPe4,exact,
Vancouver_73,Vancouver,Victoria Park,0.8905987372733684,ChIJFZRR0DhxhlQRx0NrqkpG4x4,exact,
Vancouver_74,Vancouver,Creekside Park,2.542944538408232,ChIJdT38dmRxhlQRq93GlaDNzn4,exact,
Vancouver_75,Vancouver,Mosaic Creek Park,0.1131386121750755,ChIJAStCZUBxhlQRNnG7eEcbtxw,exact,
Vancouver_76,Vancouver,Thornton Park,1.4980376266211524,ChIJDyI5MmRxhlQRgNoRd-LruNU,exact,
Vancouver_77,Vancouver,Grandview Park,0.8935237578660881,ChIJlRlWCz9xhlQREiA2lK11iBA,exact,
Vancouver_78,Vancouver,Trillium Park,2.983335770231069,ChIJqe3omWVxhlQRnQQZik9OmLk,exact,
Vancouver_79,Vancouver,Strathcona Park,10.101651413974784,ChIJSyp71WtxhlQReZtp3mzmPnY,exact,
Vancouver_80,Vancouver,Strathcona Linear Park,0.5047844091443482,ChIJGc_YA2xxhlQRYCN8Qrra0a4,exact,
Vancouver_81,Vancouver,Salsbury Park,0.2409914895208215,ChIJhQHU_z1xhlQRMzIBq7vJ02A,exact,
Burnaby_82,Burnaby,WILLINGDON HEIGHTS PARK,5.784743445779543,ChIJk3MmTC13hlQRpBc5ngzc9rI,exact,
Vancouver_83,Vancouver,Adanac Park,4.183695111902693,ChIJc-9iJdFwhlQRLBxxhG8Aos0,exact,
Burnaby_84,Burnaby,WEST-SELLS PARK,0.8960379531620521,ChIJr_LGGFtxhlQRC5VWE8jAYHA,exact,
