DAUID,db_pop_total,db_pop_valid,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10
59150673,946,946,3,59.88,26.6,16.6,63.298,28.1135,17.5427
59150674,549,549,3,7.57,7.57,7.57,13.7961,13.7961,13.7961
59150675,613,613,2,6.31,6.31,6.31,10.3003,10.3003,10.3003
59150676,577,577,0,0.0,0.0,0.0,0.0,0.0,0.0
59150677,531,531,0,0.0,0.0,0.0,0.0,0.0,0.0
59150678,591,591,1,0.14,0.14,0.14,0.2397,0.2397,0.2397
59150679,419,419,2,1.26,1.26,1.26,3.0077,3.0077,3.0077
59150680,712,712,2,1.26,1.26,1.26,1.77,1.77,1.77
59150681,486,486,2,1.26,1.26,1.26,2.5931,2.5931,2.5931
59150682,755,755,3,1.52,1.52,1.52,2.0162,2.0162,2.0162
59150683,532,532,1,0.24,0.24,0.24,0.4556,0.4556,0.4556
59150684,741,741,5,3.0,3.0,3.0,4.0525,4.0525,4.0525
59150685,839,839,3,1.62,1.62,1.62,1.932,1.932,1.932
59150686,365,365,1,1.22,1.22,1.22,3.335,3.335,3.335
59150687,443,443,0,0.0,0.0,0.0,0.0,0.0,0.0
59150688,528,528,0,0.0,0.0,0.0,0.0,0.0,0.0
59150689,450,450,2,13.76,13.76,13.76,30.5757,30.5757,30.5757
59150690,585,585,4,69.75,36.46,26.46,119.23,62.3333,45.2393
59150691,498,498,3,16.46,16.46,16.46,33.0622,33.0622,33.0622
59150692,589,589,1,2.71,2.71,2.71,4.5941,4.5941,4.5941
59150693,432,432,1,2.71,2.71,2.71,6.2637,6.2637,6.2637
59150694,482,482,0,0.0,0.0,0.0,0.0,0.0,0.0
59150695,560,560,1,0.37,0.37,0.37,0.6545,0.6545,0.6545
59150696,534,534,0,0.0,0.0,0.0,0.0,0.0,0.0
59150697,647,647,0,0.0,0.0,0.0,0.0,0.0,0.0
59150698,559,559,1,1.22,1.22,1.22,2.1776,2.1776,2.1776
59150699,469,469,1,1.22,1.22,1.22,2.5955,2.5955,2.5955
59150700,479,479,2,1.46,1.46,1.46,3.0473,3.0473,3.0473
59150701,576,576,3,1.62,1.62,1.62,2.8142,2.8142,2.8142
59150702,451,451,4,1.88,1.88,1.88,4.178,4.178,4.178
59150703,444,444,1,1.22,1.22,1.22,2.7416,2.7416,2.7416
59150704,583,583,5,3.0,3.0,3.0,5.1507,5.1507,5.1507
59150705,624,624,4,1.79,1.79,1.79,2.8615,2.8615,2.8615
59150706,289,289,1,0.26,0.26,0.26,0.9112,0.9112,0.9112
59150707,360,360,1,0.26,0.26,0.26,0.7315,0.7315,0.7315
59150708,880,880,2,1.83,1.83,1.83,2.0779,2.0779,2.0779
59150709,2457,2457,2,1.31,1.31,1.31,0.5324,0.5324,0.5324
59150710,635,635,3,3.16,3.16,3.16,4.9718,4.9718,4.9718
59150711,1102,1102,1,1.04,1.04,1.04,0.948,0.948,0.948
59150712,553,553,2,1.59,1.59,1.59,2.8785,2.8785,2.8785
59150713,481,481,1,1.04,1.04,1.04,2.1719,2.1719,2.1719
59150714,245,245,1,0.55,0.55,0.55,2.2332,2.2332,2.2332
