park_id,source,park_name,area_ha,place_id,match_flag,notes,place_id_list,in_file06,in_neither
Vancouver_31,Vancouver,MacDonald Park,1.0552802047300989,ChIJMdSO6Wx0hlQRZVtjAbrtrW8,exact,,['ChIJMdSO6Wx0hlQRZVtjAbrtrW8'],True,False
Vancouver_32,Vancouver,Tecumseh Park,2.0973505400643364,ChIJj9M8XCJ0hlQRPKFMohArkMo,exact,,['ChIJj9M8XCJ0hlQRPKFMohArkMo'],True,False
Vancouver_33,Vancouver,Memorial South Park,13.785598534037284,ChIJ_V-LvhZ0hlQRPyVZcd83YiY,exact,,['ChIJ_V-LvhZ0hlQRPyVZcd83YiY'],True,False
Vancouver_34,Vancouver,Jones Park,1.42758141871929,ChIJDa_CRR50hlQR6O1HYuG72ys,exact,,['ChIJDa_CRR50hlQR6O1HYuG72ys'],True,False
Vancouver_35,Vancouver,Champlain Heights Park,7.865381544147954,ChIJP8TmK392hlQRs8kUSp-kvQI,exact,,['ChIJP8TmK392hlQRs8kUSp-kvQI'],True,False
Vancouver_36,Vancouver,Rosemont Park,1.3637005963012985,ChIJK2UkddV1hlQRTBAqFsTxlhg,exact,,['ChIJK2UkddV1hlQRTBAqFsTxlhg'],True,False
Vancouver_37,Vancouver,Humm Park,0.4721341779626462,ChIJq6rqyDF0hlQRXLjveZ83HR8,exact,,['ChIJq6rqyDF0hlQRXLjveZ83HR8'],True,False
Vancouver_38,Vancouver,Captain Cook Park,5.502350591445502,ChIJY-gCRX52hlQRZGZEgqY7bQU,exact,,['ChIJY-gCRX52hlQRZGZEgqY7bQU'],True,False
Vancouver_39,Vancouver,Killarney Park,13.398396050141994,ChIJL9zIRYN2hlQRS0ojoIdUiPE,exact,,['ChIJL9zIRYN2hlQRS0ojoIdUiPE'],True,False
Vancouver_40,Vancouver,Nanaimo Park,2.920107048354131,ChIJ____Gyd0hlQRiDN-vHOS1bE,exact,wrong ID,['ChIJ____Gyd0hlQRiDN-vHOS1bE'],False,True
Vancouver_41,Vancouver,Earles Park,1.5884013920979632,ChIJcU6_Epx2hlQRNvEPUWuryHI,exact,,['ChIJcU6_Epx2hlQRNvEPUWuryHI'],True,False
Vancouver_42,Vancouver,Gaston Park,1.5072425630239386,ChIJGxWYt5N2hlQRpSVP-1KR7mM,exact,,['ChIJGxWYt5N2hlQRpSVP-1KR7mM'],True,False
Vancouver_43,Vancouver,Melbourne Park,0.4896656403396807,ChIJG_DeAJN2hlQRchN6SnOa_Ok,exact,,['ChIJG_DeAJN2hlQRchN6SnOa_Ok'],True,False
Vancouver_44,Vancouver,Cartier Park,0.3665449791075457,ChIJN2vpOgx0hlQReb3pmmh_wZI,exact,,['ChIJN2vpOgx0hlQReb3pmmh_wZI'],True,False
