DAUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800
59150358,3.0,512.0,261.0,512.0,0.509765625,1.0
59150359,2.0,482.0,482.0,482.0,1.0,1.0
59150360,3.0,611.0,313.0,611.0,0.5122749590834698,1.0
59150361,2.0,488.0,488.0,488.0,1.0,1.0
59150362,2.0,397.0,397.0,397.0,1.0,1.0
59150363,3.0,515.0,515.0,515.0,1.0,1.0
59150364,2.0,433.0,433.0,433.0,1.0,1.0
59150365,4.0,345.0,345.0,345.0,1.0,1.0
59150366,3.0,861.0,861.0,861.0,1.0,1.0
59150367,4.0,1340.0,1203.0,1340.0,0.8977611940298508,1.0
59150368,2.0,508.0,0.0,508.0,0.0,1.0
59150369,4.0,538.0,190.0,538.0,0.35315985130111527,1.0
59150371,5.0,548.0,299.0,548.0,0.5456204379562044,1.0
59150373,9.0,685.0,685.0,685.0,1.0,1.0
59150375,7.0,411.0,0.0,411.0,0.0,1.0
59150376,4.0,459.0,176.0,459.0,0.38344226579520696,1.0
59150377,5.0,480.0,234.0,480.0,0.4875,1.0
59150378,3.0,789.0,0.0,789.0,0.0,1.0
59150379,6.0,573.0,573.0,573.0,1.0,1.0
59150380,3.0,607.0,607.0,607.0,1.0,1.0
59150381,4.0,668.0,668.0,668.0,1.0,1.0
59150382,4.0,598.0,0.0,598.0,0.0,1.0
59150383,4.0,530.0,125.0,530.0,0.2358490566037736,1.0
59150384,4.0,489.0,0.0,489.0,0.0,1.0
59150385,4.0,486.0,384.0,486.0,0.7901234567901234,1.0
59150386,4.0,614.0,614.0,614.0,1.0,1.0
59150387,3.0,540.0,540.0,540.0,1.0,1.0
59150388,4.0,816.0,816.0,816.0,1.0,1.0
59150389,5.0,725.0,588.0,725.0,0.8110344827586207,1.0
59150390,4.0,606.0,73.0,606.0,0.12046204620462046,1.0
59150391,3.0,526.0,313.0,526.0,0.5950570342205324,1.0
59150392,5.0,467.0,167.0,467.0,0.3576017130620985,1.0
59150393,4.0,636.0,636.0,636.0,1.0,1.0
59150394,3.0,614.0,614.0,614.0,1.0,1.0
59150395,3.0,705.0,705.0,705.0,1.0,1.0
59150396,4.0,639.0,639.0,639.0,1.0,1.0
59150397,3.0,411.0,411.0,411.0,1.0,1.0
59150398,3.0,469.0,294.0,469.0,0.6268656716417911,1.0
59150399,3.0,536.0,172.0,536.0,0.3208955223880597,1.0
59150400,6.0,767.0,224.0,767.0,0.2920469361147327,1.0
59150401,5.0,639.0,337.0,639.0,0.5273865414710485,1.0
59150402,6.0,732.0,732.0,732.0,1.0,1.0
59150403,5.0,646.0,646.0,646.0,1.0,1.0
