DAUID,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks
59150455,567.0225,0.6263,4.2,100.0,3,3
59150457,,,,,0,0
59150459,,,,,0,0
59150460,,,,,0,0
59150461,906.25,0.7444,4.4,50.0,2,1
59150462,791.5633,0.7444,4.4,50.0,2,1
59150463,519.7368,0.7444,4.4,100.0,1,1
59150465,,,,,0,0
59150466,194.0594,0.5621,4.1,100.0,1,1
59150468,171.6287,0.5621,4.1,100.0,1,1
59150469,163.606,0.5621,4.1,100.0,1,1
59150470,182.8358,0.5621,4.1,100.0,1,1
59150471,,,,,0,0
59150472,,,,,0,0
59150473,457.3529,0.6655,4.2,100.0,1,1
59150474,,,,,0,0
59150475,408.1365,0.6655,4.2,100.0,1,1
59150476,334.7686,0.6655,4.2,100.0,1,1
59150477,679.9363,0.6804,4.3,100.0,1,1
59150478,539.1414,0.6804,4.3,100.0,1,1
59150479,920.2586,0.6804,4.3,100.0,1,1
59150480,772.1519,0.6804,4.3,100.0,1,1
59150481,983.871,0.6804,4.3,100.0,1,1
59150482,,,,,0,0
59150483,,,,,0,0
59150484,,,,,0,0
59150485,,,,,0,0
59150486,201.0969,0.7113,4.4,100.0,1,1
59150487,135.8025,0.7113,4.4,100.0,1,1
59150488,492.9644,0.761,4.45,100.0,2,2
59150489,998.1007,0.761,4.45,100.0,2,2
59150490,1636.5217,0.8108,4.5,100.0,1,1
59150491,1981.0526,0.8108,4.5,100.0,1,1
59150492,1560.5307,0.8108,4.5,100.0,1,1
59150493,1577.4648,0.7072,4.3,100.0,1,1
59150494,1723.0769,0.7072,4.3,100.0,1,1
59150495,1677.8846,0.6893,4.3,100.0,4,4
59150496,1320.5575,0.7008,4.3,100.0,2,2
59150497,1252.8926,0.7008,4.3,100.0,2,2
59150498,1238.5621,0.7008,4.3,100.0,2,2
59150499,501.6949,0.6727,4.3,100.0,2,2
59150500,1337.0166,0.6842,4.3,100.0,3,3
59150503,1160.473,0.6873,4.3,100.0,2,2
59150504,898.1481,0.5854,4.2667,100.0,3,3
59150505,235.6495,0.4476,4.15,100.0,2,2
59150506,453.4884,0.4476,4.15,100.0,2,2
59150507,595.7854,0.6262,4.25,100.0,2,2
59150508,700.4049,0.4973,4.1667,100.0,3,3
59150509,451.4039,0.3863,4.1,100.0,2,2
59150510,,,,,0,0
59150511,160.8806,0.5966,4.2,100.0,1,1
59150512,,,,,0,0
59150513,378.4861,0.5966,4.2,100.0,1,1
59150514,,,,,0,0
59150515,,,,,0,0
59150516,,,,,0,0
59150517,32641.4634,0.8388,4.7,100.0,1,1
59150518,168.2243,0.6707,4.2,100.0,1,1
59150519,15773.7397,0.7548,4.45,100.0,2,2
59150520,69.4981,0.6707,4.2,100.0,1,1
59150521,24408.1633,0.7114,4.4333,100.0,3,3
59150522,23993.7984,0.7318,4.55,100.0,2,2
59150523,329.9712,0.5984,4.25,100.0,2,2
59150524,,,,,0,0
59150526,747.8109,0.6804,4.3,100.0,1,1
59150527,594.7075,0.6804,4.3,100.0,1,1
59150529,290.0356,0.5886,4.1,100.0,1,1
59150530,299.6324,0.5886,4.1,100.0,1,1
59150531,605.364,0.627,4.15,100.0,2,2
59150534,756.238,0.7615,4.5,100.0,1,1
59150535,687.9875,0.6165,4.2,100.0,2,2
59150536,1299.8066,0.703,4.4,100.0,2,2
59150537,496.4286,0.6444,4.3,100.0,1,1
59150538,960.1182,0.694,4.3667,100.0,3,3
59150539,814.0496,0.7615,4.5,100.0,1,1
59150540,730.1587,0.6849,4.45,100.0,2,2
59150541,83.8628,0.6083,4.4,100.0,1,1
59150542,746.2121,0.7615,4.5,100.0,1,1
59150543,273.4426,0.5948,4.45,100.0,2,2
59150544,91.4867,0.6707,4.2,100.0,1,1
59150545,720.7304,0.6543,4.4667,100.0,3,3
59150546,,,,,0,0
59150547,136.3636,0.6707,4.2,100.0,1,1
59150548,204.5455,0.6707,4.2,100.0,1,1
59150549,297.593,0.7014,4.3,100.0,1,1
59150550,212.1685,0.7014,4.3,100.0,1,1
59150551,285.7143,0.7014,4.3,100.0,1,1
59150552,,,,,0,0
59150553,,,,,0,0
59150554,,,,,0,0
59150555,421.3115,0.7103,4.4,100.0,1,1
59150556,478.6127,0.6635,4.35,100.0,2,2
59150557,,,,,0,0
59150558,288.6029,0.6166,4.3,100.0,1,1
59150559,382.9787,0.6166,4.2,100.0,2,2
59150560,290.0356,0.6166,4.3,33.3,3,1
59150561,155.5977,0.6166,4.1,50.0,2,1
59150562,1.8382,,,0.0,1,0
59150563,239.0318,0.6166,4.3,50.0,2,1
59150564,244.204,0.6166,4.3,50.0,2,1
59150565,1.9569,,,0.0,1,0
59150566,,,,,0,0
59150567,481.6248,0.7752,4.4,100.0,1,1
59150568,786.9362,0.7428,4.4,100.0,2,2
59150569,479.1667,0.6635,4.35,100.0,2,2
59150570,850.4098,0.6635,4.35,66.7,3,2
59150571,917.2535,0.69,4.4,100.0,2,2
59150572,1626.1128,0.7001,4.3,100.0,3,3
59150573,391.6031,0.7224,4.4,100.0,2,2
59150575,531.0835,0.6626,4.25,100.0,2,2
59150577,,,,,0,0
59150578,170.6349,0.8351,4.5,100.0,1,1
59150579,212.3457,0.8351,4.5,100.0,1,1
59150580,169.9605,0.8351,4.5,100.0,1,1
59150581,220.5128,0.8351,4.5,100.0,1,1
59150582,,,,,0,0
59150583,919.0556,0.7966,4.45,100.0,2,2
59150584,1104.3046,0.7632,4.4,100.0,3,3
59150585,1226.1029,0.7632,4.4,100.0,3,3
59150586,1203.9711,0.7632,4.4,100.0,3,3
59150587,214.0351,0.6964,4.3,100.0,1,1
59150588,2173.8382,0.7546,4.45,100.0,2,2
59150589,2314.4016,0.8129,4.6,100.0,1,1
59150590,2067.029,0.8129,4.6,100.0,1,1
59150591,1777.2586,0.8129,4.6,100.0,1,1
59150592,1805.3797,0.8129,4.6,100.0,1,1
59150593,,,,,0,0
59150594,2037.5587,0.6867,4.4,100.0,1,1
59150595,1025.2976,0.771,4.5,100.0,1,1
59150596,1775.0511,0.6867,4.4,100.0,1,1
59150597,2189.8734,0.7288,4.45,100.0,2,2
59150598,1558.3483,0.6867,4.4,100.0,1,1
59150599,1453.9363,0.6867,4.4,100.0,1,1
59150600,9530.5263,0.7542,4.5,66.7,3,2
59150601,5994.7917,0.7367,4.3333,100.0,3,3
59150602,10782.2014,0.7367,4.3333,100.0,3,3
59150603,13104.2184,0.7334,4.35,100.0,4,4
59150604,2619.9678,0.7039,4.2667,100.0,3,3
59150605,1786.0082,0.6867,4.4,100.0,1,1
59150606,2330.9558,0.637,4.35,100.0,2,2
59150607,4131.5789,0.6962,4.36,100.0,5,5
59150608,5637.8092,0.7182,4.4,100.0,4,4
59150609,1439.8496,0.5873,4.3,100.0,1,1
59150610,1129.7935,0.5873,4.3,100.0,1,1
59150611,177.0682,0.6964,4.3,100.0,1,1
59150612,,,,,0,0
59150613,163.3199,0.6964,4.3,100.0,1,1
59150614,,,,,0,0
59150615,795.5912,0.7292,4.45,100.0,2,2
59150616,467.6871,0.762,4.6,100.0,1,1
59150617,1731.6176,0.7629,4.45,100.0,4,4
59150618,1261.5385,0.785,4.5,100.0,3,3
59150619,1047.0958,0.7632,4.4,100.0,3,3
59150620,491.9499,0.762,4.6,100.0,1,1
59150621,593.9525,0.762,4.6,100.0,1,1
59150622,722.6891,0.7258,4.35,100.0,2,2
59150623,556.6802,0.762,4.6,100.0,1,1
59150624,1689.5973,0.7384,4.3,100.0,2,2
59150625,1656.25,0.7384,4.3,100.0,2,2
59150626,1664.4628,0.7384,4.3,100.0,2,2
59150627,1921.7557,0.7384,4.3,100.0,2,2
59150628,1753.2468,0.662,4.3333,100.0,3,3
59150629,2004.9587,0.7747,4.55,100.0,2,2
59150633,423.8311,0.6536,4.3,100.0,2,2
59150634,292.5926,0.7418,4.4,100.0,1,1
59150635,271.012,0.7418,4.4,100.0,1,1
59150636,233.3826,0.7418,4.4,100.0,1,1
59150637,273.3564,0.7418,4.4,100.0,1,1
59150638,257.5758,0.7418,4.4,50.0,2,1
59150639,305.6093,0.7418,4.4,100.0,1,1
59150640,362.3853,0.7418,4.4,100.0,1,1
59150641,,,,,0,0
59150642,,,,,0,0
59150643,,,,,0,0
59150644,,,,,0,0
59150645,26.4317,,,0.0,1,0
59150646,,,,,0,0
