park_id,playground,sports_fields,courts,trails,dog_offleash,water_play,beach_waterfront,picnic,washroom,community_garden,seating_shelter,n_reviews,park_name,area_ha,amenity_type_count
Vancouver_142,1,1,0,1,1,0,1,0,1,1,1,500,Charleson Park,7.24506094998271,8
Vancouver_144,0,0,0,0,0,0,0,0,0,0,0,22,Sun Hop Park,0.1613126394672298,0
Vancouver_145,1,0,0,0,0,0,0,1,0,0,1,64,Sunnyside Park,0.971854362038692,3
Vancouver_146,1,0,1,0,0,0,0,0,1,1,1,286,Mount Pleasant Park,1.118571507241686,5
Vancouver_147,1,0,0,0,0,0,0,0,0,1,1,64,Tea Swamp Park,0.2633232881386645,3
Vancouver_148,1,1,1,0,1,0,0,0,1,0,1,214,Clark Park,4.298638142764009,6
Vancouver_149,1,1,1,0,0,1,0,0,1,1,1,168,Robson Park,1.5652428799599776,7
Vancouver_15,0,0,0,0,0,0,0,0,0,0,0,3,Kinross Corridor - Middle,0.142320470339399,0
Vancouver_150,1,0,0,0,0,0,0,0,0,0,1,14,Major Matthews Park,0.0743914382005765,2
Vancouver_151,1,0,1,0,0,0,0,0,0,0,0,31,Cedar Cottage Park,0.4728786658262306,2
Vancouver_152,1,0,0,0,0,0,0,0,0,0,1,8,Rosemary Brown Park,0.4950770732286146,2
Vancouver_153,1,1,1,0,0,1,1,0,1,0,1,161,West Point Grey Park,3.752669690812062,7
Vancouver_154,1,0,0,0,0,0,0,0,0,0,1,42,Delamont Park,0.3333201169663353,2
Vancouver_155,1,0,0,0,0,0,0,0,0,0,1,37,6th and Fir,0.1344785970347771,2
Vancouver_156,0,0,0,0,0,0,0,0,0,0,1,14,5th and Pine,0.1115163466708633,1
Vancouver_157,1,1,1,0,0,0,1,0,1,0,1,127,McBride Park,1.7139528153459287,6
Vancouver_158,1,0,0,0,0,0,1,0,0,0,0,65,Tatlow Park,1.403307997861267,2
Vancouver_159,1,0,0,0,0,0,0,0,0,0,0,16,Westmount Park,0.3970831302557805,1
Vancouver_160,1,0,0,0,0,0,1,0,0,0,1,76,Park Site on Point Grey at šxʷməθkʷəy̓əmasəm (Musq,0.213704688360158,3
Vancouver_161,0,0,0,0,0,0,1,0,0,0,1,105,Volunteer Park,0.7255679853061457,2
Vancouver_162,1,0,0,0,0,0,0,0,1,1,1,56,China Creek South Park,1.6561738194258506,4
Vancouver_163,1,0,0,0,0,0,0,0,0,0,1,72,W.C. Shelly Park,0.4479043144693012,2
Vancouver_164,1,1,0,0,0,1,0,0,1,1,1,382,Jonathan Rogers Park,1.4034402734679432,6
Vancouver_165,1,0,0,0,0,0,0,0,1,1,1,342,Guelph Park,1.044701379411163,4
Vancouver_166,1,0,0,0,0,0,0,0,0,1,1,41,Sahalli Park,0.5471233861074597,3
Vancouver_167,1,1,0,0,0,0,0,0,1,0,1,311,China Creek North Park,3.1742196469464954,4
Vancouver_168,1,1,1,0,0,0,0,0,1,1,1,146,McSpadden Park,1.6291630179029877,6
Vancouver_169,1,0,0,0,0,0,0,0,0,0,1,43,Alice Townley Park,0.2244104956839721,2
Vancouver_17,0,0,0,0,0,0,0,0,0,0,0,6,Kinross Ravine Park,1.1999749118924086,0
Vancouver_170,0,0,0,0,0,0,0,0,0,0,0,5,East Park,0.5806673336350324,0
Vancouver_171,1,0,0,0,0,0,0,0,0,0,1,38,Sutcliffe Park,2.51721060583821,2
Vancouver_172,1,0,0,0,0,1,0,0,1,0,0,392,Granville Island Water Park,0.2645161512827719,3
Vancouver_173,1,0,0,1,1,0,1,0,0,0,1,335,Park Site On South East False Creek (Hinge Park),1.3313305859339042,5
Vancouver_174,1,0,1,1,0,0,1,0,1,0,1,1408,David Lam Park,3.5519070001536237,6
Vancouver_175,1,0,0,0,1,0,1,0,1,0,1,535,George Wainborn Park,2.3589321714816185,5
Vancouver_176,0,0,0,0,0,0,0,0,0,0,0,26,Habitat Island Park,0.6028334089508882,0
Vancouver_177,1,0,1,1,1,0,1,0,1,0,1,567,Coopers' Park,1.851835196804662,7
