DBUID,DAUID,db_pop,nearest_node,dist_nearest_entrance,reachable_400,reachable_800,snap_flag
59150339007,59150339,79,3118025198,441.9,0,1,0
59150339008,59150339,65,8511467180,499.3,0,1,0
59150340001,59150340,83,558688764,214.4,1,1,0
59150340002,59150340,69,567158066,305.1,1,1,0
59150340003,59150340,145,8561189560,561.0,0,1,0
59150340004,59150340,115,8561189576,481.0,0,1,0
59150340005,59150340,122,8561189527,469.2,0,1,0
59150341001,59150341,112,3296180561,229.8,1,1,0
59150341002,59150341,70,8144271667,211.6,1,1,0
59150341003,59150341,112,8825964470,111.1,1,1,0
59150341004,59150341,91,8166633117,57.5,1,1,0
59150341005,59150341,74,12496821054,129.8,1,1,0
59150342001,59150342,93,8166684928,173.3,1,1,0
59150342002,59150342,85,8511467145,398.3,1,1,0
59150342003,59150342,91,8511467156,288.3,1,1,0
59150342004,59150342,81,8166684926,160.7,1,1,0
59150342005,59150342,47,1069876955,494.8,0,1,0
59150342006,59150342,64,568234319,506.3,0,1,0
59150343001,59150343,101,568234317,401.5,0,1,0
59150343002,59150343,82,5257384698,406.8,0,1,0
59150343003,59150343,142,568234314,410.7,0,1,0
59150343004,59150343,62,8511467117,457.9,0,1,0
59150343005,59150343,83,568236375,266.3,1,1,0
59150344001,59150344,37,8511467122,470.3,0,1,0
59150344002,59150344,208,8511467118,356.0,1,1,0
59150344003,59150344,235,8511494595,154.9,1,1,0
59150345001,59150345,0,431982460,43.7,1,1,0
59150345002,59150345,133,570255770,114.5,1,1,0
59150345003,59150345,90,568236234,134.1,1,1,0
59150345004,59150345,137,568236240,119.1,1,1,0
59150345005,59150345,129,6215436870,264.0,1,1,0
59150345006,59150345,108,6215436869,225.9,1,1,0
59150346001,59150346,131,8157044032,57.2,1,1,0
59150346002,59150346,0,762369063,0.0,1,1,0
59150346003,59150346,113,568236315,151.4,1,1,0
59150346004,59150346,94,568236310,188.2,1,1,0
59150346005,59150346,71,5152700530,343.6,1,1,0
59150347001,59150347,117,12932868247,186.6,1,1,0
59150347002,59150347,187,570255659,227.5,1,1,0
59150347003,59150347,58,7533595955,269.9,1,1,0
59150347004,59150347,71,2953682909,100.5,1,1,0
59150347005,59150347,71,3076152288,77.0,1,1,0
59150348001,59150348,236,8156072283,72.3,1,1,0
59150348002,59150348,103,8156072281,195.9,1,1,0
59150348003,59150348,190,570255661,253.7,1,1,0
59150349001,59150349,27,8156038933,67.4,1,1,0
59150349002,59150349,233,8156072288,57.6,1,1,0
59150349003,59150349,122,8156022901,95.6,1,1,0
59150349004,59150349,38,8156072260,176.4,1,1,0
59150350001,59150350,0,13267773147,191.7,1,1,0
59150350002,59150350,0,13267773149,174.3,1,1,0
59150350003,59150350,15,12932868238,212.3,1,1,0
59150350004,59150350,0,12932868239,198.7,1,1,0
59150350005,59150350,0,12932868236,270.7,1,1,0
59150350006,59150350,174,8156038981,441.7,0,1,0
59150350007,59150350,61,9354039280,321.8,1,1,0
59150350008,59150350,261,8156072260,176.4,1,1,0
59150351001,59150351,248,8148059300,101.1,1,1,0
59150351002,59150351,211,8148059323,239.6,1,1,0
59150352001,59150352,170,4472135831,206.9,1,1,0
59150352002,59150352,148,3001458851,221.7,1,1,0
59150352003,59150352,323,11031850697,145.2,1,1,0
59150352004,59150352,107,9225382081,0.0,1,1,0
59150353001,59150353,233,8148059313,140.1,1,1,0
59150353002,59150353,122,12908546146,280.0,1,1,0
59150353003,59150353,140,570255572,168.7,1,1,0
59150354001,59150354,141,1500922164,294.0,1,1,0
59150354002,59150354,384,12932868203,344.5,1,1,0
59150355001,59150355,531,13518626665,444.8,0,1,0
59150356001,59150356,386,8026500937,0.0,1,1,0
59150356002,59150356,87,3074438667,195.7,1,1,0
59150357001,59150357,515,13518626666,444.1,0,1,0
59150357002,59150357,226,8023580882,388.4,1,1,0
59150357003,59150357,178,570255315,173.3,1,1,0
59150358001,59150358,261,11738178670,246.8,1,1,0
59150358004,59150358,0,5116735890,326.1,1,1,0
59150358005,59150358,251,3823806670,408.1,0,1,0
59150359001,59150359,245,7894989520,139.8,1,1,0
59150359002,59150359,237,3554734891,0.0,1,1,0
59150360001,59150360,313,2963087692,300.0,1,1,0
59150360003,59150360,219,3700166546,532.5,0,1,0
59150360006,59150360,79,3700166568,442.7,0,1,0
59150361001,59150361,226,3823826805,386.5,1,1,0
59150361002,59150361,262,8015060787,258.6,1,1,0
59150362001,59150362,201,3356752897,327.4,1,1,0
59150362002,59150362,196,12909586850,237.9,1,1,0
59150363001,59150363,287,8015035420,148.8,1,1,0
59150363002,59150363,228,5628000161,0.0,1,1,0
59150363003,59150363,0,5692050037,70.3,1,1,0
59150364001,59150364,231,2926382016,129.9,1,1,0
59150364002,59150364,202,8023569001,148.5,1,1,0
59150365001,59150365,43,3277356547,85.3,1,1,0
59150365002,59150365,38,11762530081,208.1,1,1,0
59150365007,59150365,249,4169113179,234.8,1,1,0
59150365008,59150365,15,8022793510,75.2,1,1,0
59150366001,59150366,351,570255138,83.9,1,1,0
59150366002,59150366,167,8014318184,117.3,1,1,0
59150366003,59150366,343,1069877065,154.9,1,1,0
59150367001,59150367,137,570255105,199.2,1,1,0
59150367002,59150367,245,10104539292,354.3,1,1,0
59150367003,59150367,181,8034576607,250.4,1,1,0
59150367004,59150367,777,8022793525,161.1,1,1,0
59150368001,59150368,295,8014395376,209.9,1,1,0
59150368002,59150368,213,570254981,441.3,0,1,0
59150369001,59150369,90,12555789427,366.4,1,1,0
59150369002,59150369,153,570254994,553.1,0,1,0
59150369003,59150369,105,570254969,619.0,0,1,0
59150369004,59150369,190,11782430200,216.5,1,1,0
59150371001,59150371,89,5500130499,100.9,1,1,0
59150371002,59150371,107,5500130502,266.2,1,1,0
59150371003,59150371,102,8459969717,240.8,1,1,0
59150371004,59150371,103,8459969725,226.2,1,1,0
59150371005,59150371,147,8476912907,342.3,1,1,0
59150373001,59150373,46,13305620255,0.0,1,1,0
59150373002,59150373,59,8558718535,148.1,1,1,0
59150373003,59150373,78,8481150848,166.9,1,1,0
59150373004,59150373,91,5348703550,152.8,1,1,0
59150373005,59150373,110,1932994709,101.0,1,1,0
59150373006,59150373,104,5348703542,237.9,1,1,0
59150373007,59150373,81,5348703544,230.2,1,1,0
59150373008,59150373,65,8481150859,271.9,1,1,0
59150373009,59150373,51,629871115,187.3,1,1,0
59150375001,59150375,42,2869720805,406.4,0,1,0
59150375002,59150375,89,10793540719,432.6,0,1,0
59150375003,59150375,83,8558718432,509.6,0,1,0
59150375004,59150375,64,629871019,436.1,0,1,0
59150375005,59150375,54,8558718452,547.4,0,1,0
59150375006,59150375,47,629459894,693.0,0,1,0
59150375007,59150375,32,8558718423,460.5,0,1,0
59150376001,59150376,104,3371163967,403.5,0,1,0
59150376002,59150376,73,3371163965,445.8,0,1,0
59150376003,59150376,176,8558718578,284.6,1,1,0
59150376004,59150376,106,8558718596,406.7,0,1,0
59150377001,59150377,172,8558531538,500.3,0,1,0
59150377002,59150377,79,8558750022,351.9,1,1,0
59150377003,59150377,82,8558718599,267.3,1,1,0
59150377004,59150377,73,8558718610,216.0,1,1,0
59150377005,59150377,74,11345327303,406.1,0,1,0
59150378001,59150378,134,629459718,597.9,0,1,0
59150378002,59150378,497,11442448371,523.8,0,1,0
59150378003,59150378,158,3371163955,462.7,0,1,0
59150379001,59150379,106,8558727981,389.5,1,1,0
59150379002,59150379,166,629459526,264.2,1,1,0
59150379003,59150379,97,12577116352,249.0,1,1,0
59150379004,59150379,34,12577116328,81.0,1,1,0
59150379005,59150379,82,8558727961,132.0,1,1,0
59150379006,59150379,88,8558727974,218.6,1,1,0
59150380001,59150380,280,629459304,294.9,1,1,0
59150380002,59150380,184,629459297,250.2,1,1,0
59150380003,59150380,143,629459352,168.4,1,1,0
59150381001,59150381,163,629459366,88.3,1,1,0
59150381002,59150381,166,629459437,89.8,1,1,0
59150381003,59150381,145,629459457,92.5,1,1,0
59150381004,59150381,194,629459469,152.7,1,1,0
59150382001,59150382,146,1718403520,495.1,0,1,0
59150382002,59150382,154,8570484455,433.6,0,1,0
59150382003,59150382,147,8570484335,531.6,0,1,0
59150382004,59150382,151,8570484327,452.2,0,1,0
59150383001,59150383,125,8570484319,273.0,1,1,0
59150383002,59150383,129,13305667696,469.2,0,1,0
59150383003,59150383,157,8570469214,517.2,0,1,0
59150383004,59150383,119,10169621818,598.6,0,1,0
59150384001,59150384,107,629459239,579.9,0,1,0
59150384003,59150384,200,1269981051,458.3,0,1,0
59150384004,59150384,69,8572659920,446.7,0,1,0
