DAUID,DGUID,LANDAREA,PRUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10,reach_cat,qty_cat,supply_type,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks,experience_hi,divergence_type,supply_binary,divergence_2x2,medhhinc,pop_total,pct_visible_minority,pct_age_65plus,pct_LIM_AT,pct_immigrant,pct_bachelor_plus,inc_LIM_AT,inc_totalpop,immigrant_immigrant,immigrant_totalpop,education_bachelor_plus,education_totalpop,ale16_08,inc_stratum,vm_stratum,age_stratum,limat_stratum,immigrant_stratum,edu_stratum,ale_stratum
59150332,2021S051259150332,0.1118,59,5.0,660.0,0.0,660.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LL,,,,,0,0,0,LL_low_exp,0,LL,100000.0,660.0,69.9,22.7,25.5,44.9,27.4,65.0,255.0,330.0,735.0,170.0,620.0,73.0,Middle income,High VM (>50%),Older (>20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Low education (<30%),Low ALE
59150333,2021S051259150333,0.0996,59,5.0,621.0,0.0,621.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LL,,,,,0,0,0,LL_low_exp,0,LL,78000.0,621.0,62.3,20.1,16.3,45.2,25.0,40.0,245.0,260.0,575.0,130.0,520.0,36.0,Middle income,High VM (>50%),Older (>20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Low education (<30%),Low ALE
59150334,2021S051259150334,0.0878,59,6.0,507.0,123.0,507.0,0.2426035502958579,1.0,1,3.05,3.05,3.05,6.0202,6.0202,6.0202,0,1,LH,388.5602,0.7237,4.3,100.0,1,1,1,LH_high_exp,0,LH,89000.0,507.0,54.7,23.7,31.0,43.9,27.1,65.0,210.0,235.0,535.0,130.0,480.0,80.0,Middle income,High VM (>50%),Older (>20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Low education (<30%),Low ALE
59150335,2021S051259150335,0.0957,59,5.0,857.0,857.0,857.0,1.0,1.0,1,3.05,3.05,3.05,3.5615,3.5615,3.5615,1,0,HL,229.8716,0.7237,4.3,100.0,1,1,1,HL_high_exp,0,LH,89000.0,857.0,68.3,15.8,27.0,44.1,33.6,85.0,315.0,355.0,805.0,235.0,700.0,47.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Low ALE
59150336,2021S051259150336,0.1357,59,6.0,610.0,610.0,610.0,1.0,1.0,1,3.05,3.05,3.05,5.0037,5.0037,5.0037,1,1,HH,322.9508,0.7237,4.3,100.0,1,1,1,HH_high_exp,1,HH,95000.0,610.0,58.1,20.5,24.4,39.5,34.6,55.0,225.0,245.0,620.0,180.0,520.0,42.0,Middle income,High VM (>50%),Older (>20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Low ALE
59150337,2021S051259150337,0.0979,59,6.0,433.0,392.0,433.0,0.9053117782909932,1.0,2,4.02,4.02,4.02,9.2892,9.2892,9.2892,1,1,HH,595.843,0.7178,4.3,100.0,2,2,1,HH_high_exp,1,HH,123000.0,433.0,34.5,16.2,12.1,34.5,46.8,20.0,165.0,150.0,435.0,180.0,385.0,53.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Mid education (30-50%),Low ALE
59150338,2021S051259150338,0.0753,59,5.0,479.0,301.0,479.0,0.6283924843423799,1.0,2,4.99,4.99,4.99,10.4075,10.4075,10.4075,0,1,LH,546.9729,0.7068,4.3,100.0,2,2,0,LH_low_exp,0,LL,102000.0,479.0,54.7,18.8,25.7,45.8,42.0,45.0,175.0,245.0,535.0,185.0,440.0,129.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Mid ALE
59150339,2021S051259150339,0.0971,59,8.0,588.0,197.0,588.0,0.3350340136054421,1.0,1,1.93,1.93,1.93,3.2873,3.2873,3.2873,0,0,LL,110.5442,0.6898,4.3,100.0,1,1,0,LL_low_exp,0,LL,109000.0,588.0,39.1,17.9,20.5,33.0,36.4,45.0,220.0,190.0,575.0,180.0,495.0,204.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),High ALE
59150340,2021S051259150340,0.0793,59,5.0,534.0,152.0,534.0,0.2846441947565543,1.0,1,1.93,1.93,1.93,3.6197,3.6197,3.6197,0,0,LL,121.7228,0.6898,4.3,100.0,1,1,0,LL_low_exp,0,LL,92000.0,534.0,67.7,15.9,22.5,44.1,34.1,45.0,200.0,205.0,465.0,140.0,410.0,123.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Mid ALE
59150341,2021S051259150341,0.0646,59,5.0,459.0,459.0,459.0,1.0,1.0,2,2.17,2.17,2.17,4.7362,4.7362,4.7362,1,0,HL,389.9782,0.6454,4.2,100.0,2,2,0,HL_low_exp,0,LL,97000.0,459.0,45.7,18.5,17.1,35.8,35.7,30.0,175.0,170.0,475.0,150.0,420.0,203.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Mid education (30-50%),High ALE
